Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
3 July 2018,Col_10,1,0.00803,1.36,3.48,Adult,before,Parasite,
3 July 2018,Col_10,2,0.01014,1.62,3.69,Adult,before,Parasite,
3 July 2018,Col_10,3,0.00847,1.51,3.35,Adult,before,Parasite,
3 July 2018,Col_10,4,0.00982,1.44,3.1,Adult,before,Parasite,
3 July 2018,Col_10,5,0.00662,1.39,3.08,Adult,before,Parasite,
3 July 2018,Col_10,6,0.00548,1.35,2.74,Sub 2,before,Parasite,
3 July 2018,Col_10,7,0.0047,1.27,2.45,Sub 2,before,Parasite,
3 July 2018,Col_10,8,0.00597,1.24,2.24,Sub 2,before,Parasite,
3 July 2018,Col_10,9,0.00614,1.26,2.45,Sub 2,before,Parasite,
3 July 2018,Col_10,10,0.0046,1.31,2.72,Sub 2,before,Parasite,
3 July 2018,Col_10,11,NA,1.03,1.75,Sub 1,before,Parasite,
3 July 2018,Col_10,12,NA,0.99,1.65,Sub 1,before,Parasite,
3 July 2018,Col_10,13,NA,1.03,1.69,Sub 1,before,Parasite,
3 July 2018,Col_10,14,NA,0.97,1.9,Sub 1,before,Parasite,
3 July 2018,Col_10,15,NA,1.04,1.73,Sub 1,before,Parasite,
3 July 2018,Col_11,1,0.00989,1.51,3.27,Adult,before,Parasite,
3 July 2018,Col_11,2,0.01274,1.57,3.58,Adult,before,Parasite,
3 July 2018,Col_11,3,0.00816,1.56,3.47,Adult,before,Parasite,
3 July 2018,Col_11,4,0.0078,1.43,3.2,Adult,before,Parasite,
3 July 2018,Col_11,5,0.00812,1.49,3.1,Adult,before,Parasite,
3 July 2018,Col_11,6,0.00528,1.22,2.25,Sub 2,before,Parasite,
3 July 2018,Col_11,7,0.00566,1.23,2.4,Sub 2,before,Parasite,
3 July 2018,Col_11,8,0.00483,1.28,2.27,Sub 2,before,Parasite,
3 July 2018,Col_11,9,0.00427,1.28,2.54,Sub 2,before,Parasite,
3 July 2018,Col_11,10,0.00547,1.3,2.62,Sub 2,before,Parasite,
3 July 2018,Col_11,11,NA,1,1.67,Sub 1,before,Parasite,
3 July 2018,Col_11,12,NA,1.01,1.89,Sub 1,before,Parasite,
3 July 2018,Col_11,13,NA,1.06,1.92,Sub 1,before,Parasite,
3 July 2018,Col_11,14,NA,1.01,1.82,Sub 1,before,Parasite,
3 July 2018,Col_11,15,NA,1.03,1.65,Sub 1,before,Parasite,
3 July 2018,Col_12,1,0.01476,1.56,3.36,Adult,before,Parasite,
3 July 2018,Col_12,2,0.02027,1.65,3.63,Adult,before,Parasite,gravid?
3 July 2018,Col_12,3,0.01052,1.53,3.37,Adult,before,Parasite,
